,Year,Life expectancy at birth (historical)
3497,1930,32.0
3498,1934,34.0
3499,1936,35.0
3500,1942,37.0
3501,1949,41.0
3502,1950,43.7
3503,1951,44.6
3504,1952,45.4
3505,1953,46.0
3506,1954,46.8
3507,1955,47.2
3508,1956,47.7
3509,1957,48.3
3510,1958,48.8
3511,1959,39.7
3512,1960,33.3
3513,1961,40.5
3514,1962,50.8
3515,1963,51.4
3516,1964,52.2
3517,1965,52.9
3518,1966,53.6
3519,1967,54.4
3520,1968,55.1
3521,1969,55.7
3522,1970,56.6
3523,1971,57.6
3524,1972,58.4
3525,1973,59.4
3526,1974,60.2
3527,1975,60.9
3528,1976,61.8
3529,1977,62.5
3530,1978,63.2
3531,1979,63.9
3532,1980,64.4
3533,1981,65.0
3534,1982,65.5
3535,1983,65.9
3536,1984,66.3
3537,1985,66.6
3538,1986,67.0
3539,1987,67.3
3540,1988,67.6
3541,1989,67.8
3542,1990,68.0
3543,1991,68.2
3544,1992,68.7
3545,1993,69.2
3546,1994,69.5
3547,1995,70.0
3548,1996,70.3
3549,1997,70.7
3550,1998,71.2
3551,1999,71.4
3552,2000,71.9
3553,2001,72.6
3554,2002,73.0
3555,2003,73.4
3556,2004,73.7
3557,2005,74.1
3558,2006,74.5
3559,2007,74.8
3560,2008,74.9
3561,2009,75.3
3562,2010,75.6
3563,2011,75.9
3564,2012,76.2
3565,2013,76.5
3566,2014,76.7
3567,2015,77.0
3568,2016,77.2
3569,2017,77.2
3570,2018,77.7
3571,2019,78.0
3572,2020,78.1
3573,2021,78.2
